あの,um...
いま,now
えいご,English (language)
がくせい,student
〜ご,language
こうこう,high school
ごご,P.M.
ごぜん,A.M.
〜さい,...years old
〜さん,Mr./Ms....
〜じ,o'clock
〜じん,people
せんせい,teacher; Professor ...
せんこう,major
そうです,That's right.
だいがく,college; university
でんわ,telephone
ともだち,friend
なまえ,name
なん／なに,what
にほん,Japan
〜ねんせい,...year student
はい,yes
はん,half
ばんごう,number
りゅうがくせい,international student
わたし,I
